epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.6419,1.38823,5.04008,1.25379,0,0,0,0,1.28955,inf,0.97177,0.00011725,0.00011725,0.00011725
2,124.567,1.19669,2.79298,0.98216,0.61853,0.538,0.53585,0.282,1.17956,1.89152,0.89957,0.000228454,0.000228454,0.000228454
3,182.072,1.10007,1.7726,0.95481,0.68247,0.80981,0.79505,0.43828,1.11285,1.36016,0.92109,0.000331804,0.000331804,0.000331804
4,237.521,1.06341,1.56403,0.94712,0.74286,0.86045,0.84005,0.44524,1.08701,1.20907,0.90448,0.000321657,0.000321657,0.000321657
5,292.162,1.0247,1.43681,0.93808,0.81965,0.88486,0.89159,0.52253,1.04538,1.11172,0.89839,0.000309876,0.000309876,0.000309876
6,348.418,1.00411,1.36072,0.92971,0.83998,0.90695,0.89744,0.53258,1.06352,1.07351,0.90967,0.000298095,0.000298095,0.000298095
7,399.93,0.99414,1.30574,0.92621,0.85882,0.8781,0.88844,0.51793,1.05401,1.05761,0.90583,0.000286314,0.000286314,0.000286314
8,452.484,0.98236,1.25795,0.92568,0.8934,0.90642,0.91543,0.51296,1.08618,1.01305,0.92391,0.000274533,0.000274533,0.000274533
9,510.057,0.96475,1.21598,0.92178,0.80656,0.88615,0.85706,0.50363,1.0311,1.07603,0.90333,0.000262752,0.000262752,0.000262752
10,562.264,0.96282,1.19951,0.92034,0.89045,0.91519,0.91179,0.55846,1.01425,0.99971,0.90044,0.000250971,0.000250971,0.000250971
11,612.297,0.95626,1.15702,0.91963,0.85033,0.90409,0.89368,0.5426,1.04907,1.04444,0.92705,0.00023919,0.00023919,0.00023919
12,674.638,0.94487,1.12237,0.91606,0.90311,0.91496,0.91257,0.55681,1.03106,0.96488,0.92519,0.000227409,0.000227409,0.000227409
13,731.34,0.93972,1.12272,0.91295,0.8461,0.90781,0.87412,0.52799,1.08592,1.07768,0.95446,0.000215628,0.000215628,0.000215628
14,781.418,0.93265,1.11125,0.90845,0.90653,0.91426,0.91791,0.54977,1.02994,0.95566,0.90706,0.000203847,0.000203847,0.000203847
15,833.242,0.92685,1.06072,0.90328,0.8739,0.91153,0.8985,0.52458,1.07095,0.99701,0.93055,0.000192066,0.000192066,0.000192066
16,891.545,0.93033,1.05149,0.90472,0.90159,0.91387,0.90848,0.52933,1.08006,0.95501,0.94058,0.000180285,0.000180285,0.000180285
17,941.536,0.91588,1.02725,0.89636,0.89339,0.90986,0.90295,0.54507,1.03652,0.95724,0.92317,0.000168504,0.000168504,0.000168504
18,995.067,0.91629,1.01332,0.90022,0.88805,0.9074,0.90576,0.53896,1.0487,0.97821,0.935,0.000156723,0.000156723,0.000156723
19,1052.14,0.91578,1.00304,0.8961,0.87468,0.89656,0.89257,0.52679,1.10495,0.98533,0.95205,0.000144942,0.000144942,0.000144942
20,1103.2,0.90916,0.98156,0.89487,0.8491,0.90137,0.86702,0.52749,1.03517,1.05081,0.92322,0.000133161,0.000133161,0.000133161
21,1142.14,0.85104,0.84075,0.8717,0.89097,0.90267,0.90256,0.55173,1.0397,0.97807,0.91896,0.00012138,0.00012138,0.00012138
22,1176.59,0.83489,0.771,0.86675,0.89152,0.90305,0.90238,0.54645,1.03351,0.9712,0.91564,0.000109599,0.000109599,0.000109599
23,1211.05,0.83154,0.75645,0.86455,0.88417,0.91073,0.89432,0.53975,1.04277,0.98555,0.9211,9.7818e-05,9.7818e-05,9.7818e-05
24,1245.69,0.82124,0.76889,0.856,0.88718,0.9095,0.89844,0.54295,1.07661,0.98188,0.94831,8.6037e-05,8.6037e-05,8.6037e-05
25,1280.39,0.81105,0.70539,0.85088,0.89024,0.90271,0.89294,0.53621,1.05618,0.9811,0.93721,7.4256e-05,7.4256e-05,7.4256e-05
26,1315.04,0.80124,0.6902,0.84754,0.88881,0.89476,0.8946,0.54732,1.03919,0.97557,0.91684,6.2475e-05,6.2475e-05,6.2475e-05
27,1349.53,0.80161,0.68903,0.84621,0.89349,0.90994,0.89345,0.54547,1.04487,0.96752,0.92287,5.0694e-05,5.0694e-05,5.0694e-05
28,1384.01,0.79187,0.66087,0.84344,0.88927,0.90467,0.89341,0.54421,1.0414,0.9615,0.91944,3.8913e-05,3.8913e-05,3.8913e-05
29,1418.62,0.78468,0.65042,0.83777,0.88746,0.90016,0.88626,0.53608,1.0665,0.98374,0.94695,2.7132e-05,2.7132e-05,2.7132e-05
30,1453.29,0.77652,0.64482,0.83236,0.89047,0.90342,0.88906,0.53689,1.06108,0.97463,0.93711,1.5351e-05,1.5351e-05,1.5351e-05
